Date,Open,High,Low,Close,Adj Close,Volume
09-11-2021,80295,80489.85156,78001,78508.70313,78112.625,23116
10-11-2021,78508,78928.75,78050,78167.5,77773.14063,9926
11-11-2021,78399.85156,78399.85156,76900,77210.89844,76821.35156,12757
12-11-2021,77580,78297.85156,77254.10156,78174.85156,77780.46094,11688
15-11-2021,78400,78870.04688,77800,78485.5,78089.52344,10112
16-11-2021,78410,79448,78210.25,78444.79688,78049.02344,16137
17-11-2021,78694.45313,79500,78527.04688,79374.14844,78976.71875,10113
18-11-2021,79600,79665.95313,77299,77464.75,77076.88281,10930
22-11-2021,77842,77899,75020,75657.60156,75278.76563,15725
23-11-2021,75800,76699,75093.64844,76501.54688,76118.5,7408
24-11-2021,76654.54688,77397.85156,76114.14844,76469.54688,76086.65625,6410
25-11-2021,76569.54688,76698,75280.60156,75663.39844,75284.53906,10280
26-11-2021,75650,75650,74511,75190.35156,74813.86719,9869
29-11-2021,74905,75099.95313,73050,73818.25,73448.63281,8554
30-11-2021,73541,75996,73541,74630.79688,74257.11719,25947
01-12-2021,74989.89844,75360,73501.10156,73708.60156,73339.53125,11738
02-12-2021,74124,74280,73250.10156,73881.70313,73511.77344,11728
03-12-2021,74189.95313,74691.85156,73764.85156,73882.29688,73512.35938,6322
06-12-2021,73950,74136.64844,72954.79688,73129.04688,72762.88281,7682
07-12-2021,73690,73879.79688,73351,73608.89844,73240.32813,4638
08-12-2021,74048,75242.75,74009.35156,74655.29688,74281.49219,8118
09-12-2021,74934.35156,75275,74101.10156,74668.54688,74294.67969,6709
10-12-2021,74055,75000,74000,74221,73849.38281,4831
13-12-2021,74680,75111,73645,73792,73422.50781,7479
14-12-2021,73650,74200,73500,74111.85156,73740.76563,5830
15-12-2021,74005,74550,73800,73985.5,73615.0625,3594
16-12-2021,74060,74298.64844,73100,73306.45313,72939.40625,8181
17-12-2021,73270,73380,72100,72558.04688,72194.75,10564
20-12-2021,72000,72199.89844,68700,69950.5,69600.25781,19827
21-12-2021,69950.5,71139.70313,69950,70413.64844,70061.07813,11270
22-12-2021,70499.85156,71290,70236,70549.45313,70196.21094,8950
23-12-2021,70990,71500,70700.04688,71029.60156,70673.94531,8715
24-12-2021,71300,71300,69706.75,70090.70313,69739.75781,8524
27-12-2021,70089,70689.45313,69010,70526.20313,70173.08594,7843
28-12-2021,70540,71999,70540,71617.70313,71259.10938,8194
29-12-2021,71850,72697.85156,71400,72559.04688,72195.74219,9449
30-12-2021,72698.95313,72888,71850.29688,72119.54688,71758.4375,6786
31-12-2021,72011,73699.25,72011,73338,72970.78125,6473
03-01-2022,73589.95313,73979.95313,73113.64844,73367.70313,73000.33594,5871
04-01-2022,73667.70313,74000,73350,73937.20313,73567,6005
05-01-2022,73937.20313,74400,73783,74046,73675.22656,7370
06-01-2022,73905,74495,73200,74155.29688,73784,7559
07-01-2022,74210.14844,74573.95313,73551.04688,74189.29688,73817.82813,5550
10-01-2022,74210,74979.10156,74150,74286.39844,73914.44531,5451
11-01-2022,74286,74445,73918,74291.29688,73919.32031,5864
12-01-2022,74291.29688,75498.10156,74260.04688,75383.75,75006.30469,7862
13-01-2022,75551,76300,75030.20313,75977.04688,75596.61719,9077
14-01-2022,75970,76277.14844,75345.04688,76134.64844,75753.42969,4493
17-01-2022,76134.64844,77185.45313,75800.04688,76822.20313,76437.53906,6852
18-01-2022,76851,77299.89844,76000,76296.85156,75914.83594,8057
19-01-2022,76300,76780.29688,75650,76529.85156,76146.66406,6542
20-01-2022,76097.95313,76097.95313,73500,73728.25,73359.09375,16368
21-01-2022,73640,74800,72054.35156,72697.10156,72333.09375,11025
24-01-2022,72700,72989.95313,70002,71077.35156,70721.46094,10330
25-01-2022,70900,72249.54688,69815.39844,70569.95313,70216.59375,11974
27-01-2022,70120,71049,69459.54688,70712.64844,70358.58594,10272
28-01-2022,71070,72850,71070,71327.70313,70970.55469,9147
31-01-2022,72180,72500.04688,71401.04688,72148.10156,71786.85156,6201
01-02-2022,72400,72680,71200.20313,71515.45313,71157.35938,12365
02-02-2022,71601,72674.64844,71185,71462.45313,71104.63281,8742
03-02-2022,70450,71930,70111.29688,70987.14844,70631.71875,10786
04-02-2022,70987,71297.5,69851.89844,70006.39844,69655.875,11034
